neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
5,1.31125,103.86083,2,54,2,6,0.13,20,363,2019,2,9
2,1.33746,103.78052,3,119,2,3,0.1,1,118,2018,4,11
7,1.2942,103.84283,3,108,3,31,0.47,2,338,2019,7,1
18,1.33792,103.88593,2,60,3,57,0.88,2,350,2019,7,31
11,1.2830000000000001,103.84399,2,89,1,121,1.96,3,333,2019,8,13
11,1.28409,103.84514,2,67,1,19,0.29,3,0,2019,8,11
11,1.28674,103.84073000000001,3,250,90,24,0.37,2,289,2019,2,28
1,1.27819,103.83072,2,119,2,1,0.12,2,365,2018,12,31
5,1.31138,103.86104,2,36,28,1,0.07,83,331,2018,6,30
13,1.2977299999999998,103.83919,3,128,2,70,1.08,48,321,2019,8,13
9,1.31626,103.84444,2,81,6,43,0.65,1,215,2019,7,6
5,1.31254,103.85068000000001,3,200,4,24,0.4,203,33,2017,12,23
13,1.29519,103.84185,3,150,14,7,0.11,1,17,2018,7,24
4,1.31566,103.8859,3,90,1,52,0.82,67,45,2019,8,5
4,1.31531,103.88561,3,93,5,44,0.68,67,73,2019,7,17
13,1.29645,103.83972,3,200,1,97,1.53,48,315,2019,6,30
13,1.2964799999999999,103.83877,3,106,1,217,3.41,48,335,2019,8,3
12,1.28132,103.7854,2,49,1,8,0.18,32,350,2019,8,11
1,1.28376,103.83081999999999,3,139,2,17,0.28,26,338,2019,6,22
5,1.31047,103.86095999999999,1,35,1,19,0.31,3,0,2016,4,6
7,1.2986,103.84659,2,110,90,6,0.1,2,215,2019,6,2
18,1.3396700000000001,103.86901,3,228,60,6,0.11,1,365,2015,9,25
1,1.27811,103.83379000000001,3,254,7,4,0.06,1,0,2016,7,9
13,1.29792,103.83781,3,125,2,93,1.5,48,305,2019,8,7
4,1.3160100000000001,103.88579,3,92,1,63,0.99,67,77,2019,7,30
5,1.31239,103.85200999999999,3,300,2,3,0.05,1,0,2015,6,15
5,1.31619,103.85983,2,137,1,31,0.67,11,365,2019,3,18
5,1.31472,103.86022,1,44,1,5,0.08,11,365,2017,2,19
5,1.31437,103.86017,2,60,1,2,0.08,11,342,2019,6,30
4,1.3139299999999998,103.88749,3,85,5,62,1.13,67,84,2019,6,30
